"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","trial","block","test_pos","test_inner_radius","test_outer_radius","ref_inner_radius","ref_outer_radius","test_bigger"
"55954","{""p_id"":""3518"",""age"":""20"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}","survey-html-form","0","55957","0.0-0.0","","","","","","","","","","","","","",""
"7408.000000000007","n","html-keyboard-response","1","63373","0.0-1.0","<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>","","","","","","","","","","","","",""
"25018.000000000007","n","psychophysics","2","88398","0.0-2.0","","key","n","17.066211604095564","513.5","362.5","","","","","","","",""
"5571","arrowright","psychophysics","3","93975","0.0-3.0-0.0","","key","arrowright","16.597014925373134","513.5","362.5","1","1","1","30","15","25","35","true"
"null","null","psychophysics","4","94980","0.0-3.0-1.0","","key","null","16.433333333333334","513.5","362.5","","","","","","","",""
"2299","arrowright","psychophysics","5","97287","0.0-3.0-0.1","","key","arrowright","16.615942028985508","513.5","362.5","2","1","1","27","35","25","35","true"
"null","null","psychophysics","6","98290","0.0-3.0-1.1","","key","null","16.533333333333335","513.5","362.5","","","","","","","",""
"4704","arrowleft","psychophysics","7","102999","0.0-3.0-0.2","","key","arrowleft","16.663120567375888","513.5","362.5","3","1","1","24","15","25","35","false"
"null","null","psychophysics","8","104005","0.0-3.0-1.2","","key","null","16.55","513.5","362.5","","","","","","","",""
"1149","arrowright","psychophysics","9","105158","0.0-3.0-0.3","","key","arrowright","16.66176470588235","513.5","362.5","4","1","1","30","35","25","35","true"
"null","null","psychophysics","10","106161","0.0-3.0-1.3","","key","null","16.45","513.5","362.5","","","","","","","",""
"634","arrowleft","psychophysics","11","106805","0.0-3.0-0.4","","key","arrowleft","16.63157894736842","513.5","362.5","5","1","1","23","15","25","35","false"
"null","null","psychophysics","12","107807","0.0-3.0-1.4","","key","null","16.483333333333334","513.5","362.5","","","","","","","",""
