"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","trial","block","test_pos","test_inner_radius","test_outer_radius","ref_inner_radius","ref_outer_radius","test_bigger"
"9646","{""p_id"":""3805"",""age"":""18"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}","survey-html-form","0","9648","0.0-0.0","","","","","","","","","","","","","",""
"10224"," ","html-keyboard-response","1","19875","0.0-1.0","<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>","","","","","","","","","","","","",""
"8364"," ","psychophysics","2","28244","0.0-2.0","","key"," ","16.668662674650697","756","446.5","","","","","","","",""
"3062.9999999999927","arrowright","psychophysics","3","31311","0.0-3.0-0.0","","key","arrowright","16.683060109289617","756","446.5","1","1","1","30","15","25","35","true"
"null","null","psychophysics","4","32313","0.0-3.0-1.0","","key","null","16.677966101694917","756","446.5","","","","","","","",""
"3014","arrowleft","psychophysics","5","35333","0.0-3.0-0.1","","key","arrowleft","16.677777777777777","756","446.5","2","1","-1","26","35","25","35","true"
"null","null","psychophysics","6","36336","0.0-3.0-1.1","","key","null","16.677966101694917","756","446.5","","","","","","","",""
"945","arrowleft","psychophysics","7","37293","0.0-3.0-0.2","","key","arrowleft","16.63157894736842","756","446.5","3","1","1","20","15","25","35","false"
"null","null","psychophysics","8","38294","0.0-3.0-1.2","","key","null","16.728813559322035","756","446.5","","","","","","","",""
"1048","arrowleft","psychophysics","9","39344","0.0-3.0-0.3","","key","arrowleft","16.693548387096776","756","446.5","4","1","1","23","15","25","35","false"
"null","null","psychophysics","10","40346","0.0-3.0-1.3","","key","null","16.661016949152543","756","446.5","","","","","","","",""
"943","arrowleft","psychophysics","11","41295","0.0-3.0-0.4","","key","arrowleft","16.714285714285715","756","446.5","5","1","1","20","35","25","35","false"
"null","null","psychophysics","12","42299","0.0-3.0-1.4","","key","null","16.71186440677966","756","446.5","","","","","","","",""
"756","arrowright","psychophysics","13","43061","0.0-3.0-0.5","","key","arrowright","16.68888888888889","756","446.5","6","1","-1","20","35","25","35","false"
"null","null","psychophysics","14","44062","0.0-3.0-1.5","","key","null","16.71186440677966","756","446.5","","","","","","","",""
"1136","arrowright","psychophysics","15","45202","0.0-3.0-0.6","","key","arrowright","16.71641791044776","756","446.5","7","1","-1","20","15","25","35","false"
"null","null","psychophysics","16","46205","0.0-3.0-1.6","","key","null","16.64406779661017","756","446.5","","","","","","","",""
"936","arrowleft","psychophysics","17","47145","0.0-3.0-0.7","","key","arrowleft","16.607142857142858","756","446.5","8","1","1","20","35","25","35","false"
"null","null","psychophysics","18","48147","0.0-3.0-1.7","","key","null","16.728813559322035","756","446.5","","","","","","","",""
"1118","arrowleft","psychophysics","19","49269","0.0-3.0-0.8","","key","arrowleft","16.681818181818183","756","446.5","9","1","1","24","15","25","35","false"
"null","null","psychophysics","20","50272","0.0-3.0-1.8","","key","null","16.633333333333333","756","446.5","","","","","","","",""
