rt,response,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response_type,key_press,avg_frame_time,center_x,center_y,trial,block,test_pos,test_inner_radius,test_outer_radius,ref_inner_radius,ref_outer_radius,test_bigger
88401.1,"{""p_id"":""2575"",""age"":""19"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}",survey-html-form,0,88409,0.0-0.0,,,,,,,,,,,,,,
12506, ,html-keyboard-response,1,100918,0.0-1.0,"<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>",,,,,,,,,,,,,
11328.9, ,psychophysics,2,112313,0.0-2.0,,key, ,16.73085903,720,394.5,,,,,,,,
2169,arrowright,psychophysics,3,114487,0.0-3.0-0.0,,key,arrowright,16.666,720,394.5,1,1,-1,20,35,25,35,FALSE
null,null,psychophysics,4,115489,0.0-3.0-1.0,,key,null,16.666,720,394.5,,,,,,,,
2497.4,arrowleft,psychophysics,5,117991,0.0-3.0-0.1,,key,arrowleft,16.666,720,394.5,2,1,-1,26,35,25,35,TRUE
null,null,psychophysics,6,118997,0.0-3.0-1.1,,key,null,16.666,720,394.5,,,,,,,,
1161.8,arrowleft,psychophysics,7,120165,0.0-3.0-0.2,,key,arrowleft,16.666,720,394.5,3,1,-1,30,35,25,35,TRUE
null,null,psychophysics,8,121167,0.0-3.0-1.2,,key,null,16.63088333,720,394.5,,,,,,,,
1152,arrowleft,psychophysics,9,122323,0.0-3.0-0.3,,key,arrowleft,16.666,720,394.5,4,1,1,20,15,25,35,FALSE
null,null,psychophysics,10,123327,0.0-3.0-1.3,,key,null,16.666,720,394.5,,,,,,,,
1442.4,arrowleft,psychophysics,11,124773,0.0-3.0-0.4,,key,arrowleft,16.666,720,394.5,5,1,-1,30,35,25,35,TRUE
null,null,psychophysics,12,125777,0.0-3.0-1.4,,key,null,16.666,720,394.5,,,,,,,,
2504.5,arrowright,psychophysics,13,128290,0.0-3.0-0.5,,key,arrowright,16.666,720,394.5,6,1,-1,20,15,25,35,FALSE
null,null,psychophysics,14,129293,0.0-3.0-1.5,,key,null,16.666,720,394.5,,,,,,,,
1210.3,arrowright,psychophysics,15,130507,0.0-3.0-0.6,,key,arrowright,16.666,720,394.5,7,1,1,27,15,25,35,TRUE
null,null,psychophysics,16,131511,0.0-3.0-1.6,,key,null,16.666,720,394.5,,,,,,,,
6992.7,arrowright,psychophysics,17,138508,0.0-3.0-0.7,,key,arrowright,16.666,720,394.5,8,1,-1,25,35,25,35,FALSE
null,null,psychophysics,18,139514,0.0-3.0-1.7,,key,null,16.666,720,394.5,,,,,,,,
1222.2,arrowleft,psychophysics,19,140741,0.0-3.0-0.8,,key,arrowleft,16.666,720,394.5,9,1,1,20,35,25,35,FALSE
null,null,psychophysics,20,141746,0.0-3.0-1.8,,key,null,16.67498305,720,394.5,,,,,,,,
1103.4,arrowleft,psychophysics,21,142853,0.0-3.0-0.9,,key,arrowleft,16.666,720,394.5,10,1,-1,24,15,25,35,TRUE
null,null,psychophysics,22,143860,0.0-3.0-1.9,,key,null,16.666,720,394.5,,,,,,,,
1921,arrowleft,psychophysics,23,145784,0.0-3.0-0.10,,key,arrowleft,16.666,720,394.5,11,1,1,23,35,25,35,FALSE
null,null,psychophysics,24,146786,0.0-3.0-1.10,,key,null,16.666,720,394.5,,,,,,,,
2443.8,arrowleft,psychophysics,25,149232,0.0-3.0-0.11,,key,arrowleft,16.666,720,394.5,12,1,-1,27,35,25,35,TRUE
null,null,psychophysics,26,150234,0.0-3.0-1.11,,key,null,16.666,720,394.5,,,,,,,,
902.2,arrowright,psychophysics,27,151140,0.0-3.0-0.12,,key,arrowright,16.666,720,394.5,13,1,-1,20,35,25,35,FALSE
null,null,psychophysics,28,152142,0.0-3.0-1.12,,key,null,17.55882143,720,394.5,,,,,,,,
944.3,arrowleft,psychophysics,29,153090,0.0-3.0-0.13,,key,arrowleft,16.666,720,394.5,14,1,-1,25,15,25,35,TRUE
null,null,psychophysics,30,154094,0.0-3.0-1.13,,key,null,16.666,720,394.5,,,,,,,,
2248.9,arrowright,psychophysics,31,156346,0.0-3.0-0.14,,key,arrowright,16.666,720,394.5,15,1,1,24,15,25,35,TRUE
null,null,psychophysics,32,157350,0.0-3.0-1.14,,key,null,16.666,720,394.5,,,,,,,,
885.8,arrowright,psychophysics,33,158240,0.0-3.0-0.15,,key,arrowright,16.666,720,394.5,16,1,1,26,15,25,35,TRUE
null,null,psychophysics,34,159242,0.0-3.0-1.15,,key,null,16.666,720,394.5,,,,,,,,
1244.5,arrowright,psychophysics,35,160490,0.0-3.0-0.16,,key,arrowright,16.666,720,394.5,17,1,-1,20,15,25,35,FALSE
null,null,psychophysics,36,161493,0.0-3.0-1.16,,key,null,16.67515254,720,394.5,,,,,,,,
1277.6,arrowleft,psychophysics,37,162774,0.0-3.0-0.17,,key,arrowleft,16.666,720,394.5,18,1,-1,23,35,25,35,TRUE
null,null,psychophysics,38,163776,0.0-3.0-1.17,,key,null,16.666,720,394.5,,,,,,,,
829.6,arrowright,psychophysics,39,164609,0.0-3.0-0.18,,key,arrowright,16.666,720,394.5,19,1,1,25,35,25,35,TRUE
null,null,psychophysics,40,165614,0.0-3.0-1.18,,key,null,16.666,720,394.5,,,,,,,,
1139.3,arrowleft,psychophysics,41,166757,0.0-3.0-0.19,,key,arrowleft,16.666,720,394.5,20,1,1,20,35,25,35,FALSE
null,null,psychophysics,42,167759,0.0-3.0-1.19,,key,null,16.666,720,394.5,,,,,,,,
854.3,arrowright,psychophysics,43,168617,0.0-3.0-0.20,,key,arrowright,18.11521739,720,394.5,21,1,1,27,35,25,35,TRUE
null,null,psychophysics,44,169628,0.0-3.0-1.20,,key,null,16.666,720,394.5,,,,,,,,
726.5,arrowright,psychophysics,45,170358,0.0-3.0-0.21,,key,arrowright,16.666,720,394.5,22,1,1,27,15,25,35,TRUE
null,null,psychophysics,46,171360,0.0-3.0-1.21,,key,null,16.666,720,394.5,,,,,,,,
1844.6,arrowleft,psychophysics,47,173208,0.0-3.0-0.22,,key,arrowleft,16.666,720,394.5,23,1,1,24,35,25,35,FALSE
null,null,psychophysics,48,174213,0.0-3.0-1.22,,key,null,16.666,720,394.5,,,,,,,,
804.7,arrowleft,psychophysics,49,175022,0.0-3.0-0.23,,key,arrowleft,16.666,720,394.5,24,1,-1,25,15,25,35,TRUE
null,null,psychophysics,50,176025,0.0-3.0-1.23,,key,null,16.666,720,394.5,,,,,,,,
1668.6,arrowleft,psychophysics,51,177696,0.0-3.0-0.24,,key,arrowleft,16.666,720,394.5,25,1,1,20,15,25,35,FALSE
null,null,psychophysics,52,178700,0.0-3.0-1.24,,key,null,16.666,720,394.5,,,,,,,,
3622.3,arrowright,psychophysics,53,182327,0.0-3.0-0.25,,key,arrowright,16.66851852,720,394.5,26,1,1,26,35,25,35,TRUE
null,null,psychophysics,54,183331,0.0-3.0-1.25,,key,null,16.666,720,394.5,,,,,,,,
1143.7,arrowright,psychophysics,55,184478,0.0-3.0-0.26,,key,arrowright,16.666,720,394.5,27,1,1,30,35,25,35,TRUE
null,null,psychophysics,56,185481,0.0-3.0-1.26,,key,null,16.666,720,394.5,,,,,,,,
1055.8,arrowleft,psychophysics,57,186541,0.0-3.0-0.27,,key,arrowleft,16.666,720,394.5,28,2,-1,24,15,25,35,TRUE
null,null,psychophysics,58,187545,0.0-3.0-1.27,,key,null,16.666,720,394.5,,,,,,,,
10884.7, ,html-keyboard-response,59,198432,0.0-3.0-2.27-0.27,"<div style=""color: white; text-align: center; vertical-align: top; display: inline-block; width: 800px; margin: auto""><p>You have completed 10% of the trials. You are on block 2 of 10. <br>Good job! Take a break if you need to.</p><p>Press any key to continue the experiment.</p></div>",,,,,,,,,,,,,
2719.9,arrowleft,psychophysics,60,202162,0.0-3.0-0.28,,key,arrowleft,16.666,720,394.5,29,2,1,24,35,25,35,FALSE
null,null,psychophysics,61,203166,0.0-3.0-1.28,,key,null,16.666,720,394.5,,,,,,,,
1060.3,arrowright,psychophysics,62,204230,0.0-3.0-0.29,,key,arrowright,16.666,720,394.5,30,2,1,23,15,25,35,TRUE
null,null,psychophysics,63,205232,0.0-3.0-1.29,,key,null,16.666,720,394.5,,,,,,,,
1646.9,arrowleft,psychophysics,64,206881,0.0-3.0-0.30,,key,arrowleft,16.666,720,394.5,31,2,1,20,35,25,35,FALSE
null,null,psychophysics,65,207887,0.0-3.0-1.30,,key,null,16.666,720,394.5,,,,,,,,
1114.1,arrowleft,psychophysics,66,209004,0.0-3.0-0.31,,key,arrowleft,16.666,720,394.5,32,2,-1,30,35,25,35,TRUE
null,null,psychophysics,67,210008,0.0-3.0-1.31,,key,null,16.666,720,394.5,,,,,,,,
915.6,arrowright,psychophysics,68,210927,0.0-3.0-0.32,,key,arrowright,16.666,720,394.5,33,2,-1,24,35,25,35,FALSE
null,null,psychophysics,69,211932,0.0-3.0-1.32,,key,null,16.666,720,394.5,,,,,,,,
975,arrowright,psychophysics,70,212910,0.0-3.0-0.33,,key,arrowright,16.666,720,394.5,34,2,1,30,35,25,35,TRUE
null,null,psychophysics,71,213915,0.0-3.0-1.33,,key,null,16.666,720,394.5,,,,,,,,
7335.5,arrowright,psychophysics,72,221254,0.0-3.0-0.34,,key,arrowright,16.6609795,720,394.5,35,2,-1,26,35,25,35,FALSE
null,null,psychophysics,73,222256,0.0-3.0-1.34,,key,null,16.666,720,394.5,,,,,,,,
5328.3,arrowleft,psychophysics,74,227594,0.0-3.0-0.35,,key,arrowleft,16.666,720,394.5,36,2,-1,26,35,25,35,TRUE
null,null,psychophysics,75,228596,0.0-3.0-1.35,,key,null,16.666,720,394.5,,,,,,,,
