rt,response,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response_type,key_press,avg_frame_time,center_x,center_y,trial,block,test_pos,test_inner_radius,test_outer_radius,ref_inner_radius,ref_outer_radius,test_bigger
252129.9,"{""p_id"":""7572"",""age"":""19"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}",survey-html-form,0,252141,0.0-0.0,,,,,,,,,,,,,,
8871.5, ,html-keyboard-response,1,261014,0.0-1.0,"<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>",,,,,,,,,,,,,
26908.9, ,psychophysics,2,287944,0.0-2.0,,key, ,16.67653498,430,349,,,,,,,,
22576.5,arrowright,psychophysics,3,310525,0.0-3.0-0.0,,key,arrowright,16.67450924,430,349,1,1,-1,26,35,25,35,FALSE
null,null,psychophysics,4,311527,0.0-3.0-1.0,,key,null,16.674,430,349,,,,,,,,
9110.2,arrowright,psychophysics,5,320640,0.0-3.0-0.1,,key,arrowright,16.674,430,349,2,1,-1,20,15,25,35,FALSE
null,null,psychophysics,6,321642,0.0-3.0-1.1,,key,null,16.674,430,349,,,,,,,,
1837.8,arrowright,psychophysics,7,323487,0.0-3.0-0.2,,key,arrowright,16.674,430,349,3,1,1,26,15,25,35,TRUE
null,null,psychophysics,8,324489,0.0-3.0-1.2,,key,null,16.674,430,349,,,,,,,,
1901.7,arrowleft,psychophysics,9,326393,0.0-3.0-0.3,,key,arrowleft,16.674,430,349,4,1,-1,27,15,25,35,TRUE
null,null,psychophysics,10,327395,0.0-3.0-1.3,,key,null,16.68547458,430,349,,,,,,,,
9606,arrowright,psychophysics,11,337003,0.0-3.0-0.4,,key,arrowright,16.674,430,349,5,1,-1,25,35,25,35,FALSE
null,null,psychophysics,12,338005,0.0-3.0-1.4,,key,null,16.674,430,349,,,,,,,,
1783.2,arrowleft,psychophysics,13,339791,0.0-3.0-0.5,,key,arrowleft,16.674,430,349,6,1,-1,27,35,25,35,TRUE
null,null,psychophysics,14,340793,0.0-3.0-1.5,,key,null,16.674,430,349,,,,,,,,
711.4,arrowright,psychophysics,15,341507,0.0-3.0-0.6,,key,arrowright,16.674,430,349,7,1,1,30,15,25,35,TRUE
null,null,psychophysics,16,342509,0.0-3.0-1.6,,key,null,16.674,430,349,,,,,,,,
1807.9,arrowright,psychophysics,17,344319,0.0-3.0-0.7,,key,arrowright,16.674,430,349,8,1,1,25,15,25,35,TRUE
null,null,psychophysics,18,345320,0.0-3.0-1.7,,key,null,16.674,430,349,,,,,,,,
1566.8,arrowright,psychophysics,19,346888,0.0-3.0-0.8,,key,arrowright,16.68095699,430,349,9,1,-1,20,35,25,35,FALSE
null,null,psychophysics,20,347890,0.0-3.0-1.8,,key,null,16.674,430,349,,,,,,,,
2032.3,arrowleft,psychophysics,21,349924,0.0-3.0-0.9,,key,arrowleft,16.674,430,349,10,1,1,24,35,25,35,FALSE
null,null,psychophysics,22,350925,0.0-3.0-1.9,,key,null,16.674,430,349,,,,,,,,
1395.6,arrowleft,psychophysics,23,352323,0.0-3.0-0.10,,key,arrowleft,16.674,430,349,11,1,1,20,35,25,35,FALSE
null,null,psychophysics,24,353324,0.0-3.0-1.10,,key,null,16.674,430,349,,,,,,,,
936.8,arrowright,psychophysics,25,354263,0.0-3.0-0.11,,key,arrowright,16.674,430,349,12,1,-1,20,35,25,35,FALSE
null,null,psychophysics,26,355265,0.0-3.0-1.11,,key,null,16.674,430,349,,,,,,,,
1852,arrowleft,psychophysics,27,357119,0.0-3.0-0.12,,key,arrowleft,16.674,430,349,13,1,1,20,15,25,35,FALSE
null,null,psychophysics,28,358121,0.0-3.0-1.12,,key,null,16.674,430,349,,,,,,,,
2157.6,arrowleft,psychophysics,29,360284,0.0-3.0-0.13,,key,arrowleft,16.674,430,349,14,1,1,20,15,25,35,FALSE
null,null,psychophysics,30,361286,0.0-3.0-1.13,,key,null,16.674,430,349,,,,,,,,
1398,arrowleft,psychophysics,31,362686,0.0-3.0-0.14,,key,arrowleft,16.674,430,349,15,1,1,20,35,25,35,FALSE
null,null,psychophysics,32,363689,0.0-3.0-1.14,,key,null,16.674,430,349,,,,,,,,
730.4,arrowright,psychophysics,33,364423,0.0-3.0-0.15,,key,arrowright,16.674,430,349,16,1,1,24,35,25,35,TRUE
null,null,psychophysics,34,365424,0.0-3.0-1.15,,key,null,16.674,430,349,,,,,,,,
5136.4,arrowleft,psychophysics,35,370563,0.0-3.0-0.16,,key,arrowleft,16.67601299,430,349,17,1,1,20,15,25,35,FALSE
null,null,psychophysics,36,371565,0.0-3.0-1.16,,key,null,16.674,430,349,,,,,,,,
619.1,arrowright,psychophysics,37,372186,0.0-3.0-0.17,,key,arrowright,16.674,430,349,18,1,1,25,15,25,35,TRUE
null,null,psychophysics,38,373187,0.0-3.0-1.17,,key,null,16.674,430,349,,,,,,,,
1616,arrowright,psychophysics,39,374806,0.0-3.0-0.18,,key,arrowright,16.674,430,349,19,1,1,26,35,25,35,TRUE
null,null,psychophysics,40,375807,0.0-3.0-1.18,,key,null,16.674,430,349,,,,,,,,
1501.5,arrowright,psychophysics,41,377311,0.0-3.0-0.19,,key,arrowright,16.674,430,349,20,1,-1,23,35,25,35,FALSE
null,null,psychophysics,42,378314,0.0-3.0-1.19,,key,null,16.674,430,349,,,,,,,,
5555.4,arrowleft,psychophysics,43,383873,0.0-3.0-0.20,,key,arrowleft,16.674,430,349,21,1,-1,27,35,25,35,TRUE
null,null,psychophysics,44,384875,0.0-3.0-1.20,,key,null,16.674,430,349,,,,,,,,
