rt,response,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response_type,key_press,avg_frame_time,center_x,center_y,trial,block,test_pos,test_inner_radius,test_outer_radius,ref_inner_radius,ref_outer_radius,test_bigger
78414,"{""p_id"":""1966"",""age"":""19"",""handedness"":""right"",""sex"":""male"",""other_sex"":""""}",survey-html-form,0,78417,0.0-0.0,,,,,,,,,,,,,,
16881, ,html-keyboard-response,1,95302,0.0-1.0,"<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>",,,,,,,,,,,,,
21590, ,psychophysics,2,116899,0.0-2.0,,key, ,15.38346401,565,534.5,,,,,,,,
5317,arrowleft,psychophysics,3,122213,0.0-3.0-0.0,,key,arrowleft,16.66666667,565,534.5,1,1,-1,27,35,25,35,TRUE
null,null,psychophysics,4,123215,0.0-3.0-1.0,,key,null,16.66101695,565,534.5,,,,,,,,
3978,arrowleft,psychophysics,5,127193,0.0-3.0-0.1,,key,arrowleft,16.6512605,565,534.5,2,1,-1,24,15,25,35,TRUE
null,null,psychophysics,6,128197,0.0-3.0-1.1,,key,null,16.63333333,565,534.5,,,,,,,,
3333,arrowleft,psychophysics,7,131531,0.0-3.0-0.2,,key,arrowleft,16.66834171,565,534.5,3,1,1,20,35,25,35,FALSE
null,null,psychophysics,8,132534,0.0-3.0-1.2,,key,null,16.66101695,565,534.5,,,,,,,,
3471,arrowright,psychophysics,9,136008,0.0-3.0-0.3,,key,arrowright,16.66826923,565,534.5,4,1,-1,23,15,25,35,FALSE
null,null,psychophysics,10,137010,0.0-3.0-1.3,,key,null,16.6779661,565,534.5,,,,,,,,
2323,arrowright,psychophysics,11,139335,0.0-3.0-0.4,,key,arrowright,16.66666667,565,534.5,5,1,1,24,35,25,35,TRUE
null,null,psychophysics,12,140339,0.0-3.0-1.4,,key,null,16.65,565,534.5,,,,,,,,
2433,arrowright,psychophysics,13,142774,0.0-3.0-0.5,,key,arrowright,16.66896552,565,534.5,6,1,1,24,35,25,35,TRUE
null,null,psychophysics,14,143776,0.0-3.0-1.5,,key,null,16.6779661,565,534.5,,,,,,,,
1157,arrowleft,psychophysics,15,144938,0.0-3.0-0.6,,key,arrowleft,16.66666667,565,534.5,7,1,1,23,35,25,35,FALSE
null,null,psychophysics,16,145941,0.0-3.0-1.6,,key,null,16.66101695,565,534.5,,,,,,,,
1377,arrowleft,psychophysics,17,147323,0.0-3.0-0.7,,key,arrowleft,16.67073171,565,534.5,8,1,-1,30,35,25,35,TRUE
null,null,psychophysics,18,148326,0.0-3.0-1.7,,key,null,16.6779661,565,534.5,,,,,,,,
12397,arrowleft,psychophysics,19,160726,0.0-3.0-0.8,,key,arrowleft,16.66621803,565,534.5,9,1,1,27,15,25,35,FALSE
null,null,psychophysics,20,161729,0.0-3.0-1.8,,key,null,16.66101695,565,534.5,,,,,,,,
3942,arrowright,psychophysics,21,165677,0.0-3.0-0.9,,key,arrowright,16.66101695,565,534.5,10,1,-1,26,35,25,35,FALSE
null,null,psychophysics,22,166682,0.0-3.0-1.9,,key,null,16.6779661,565,534.5,,,,,,,,
7364,arrowright,psychophysics,23,174050,0.0-3.0-0.10,,key,arrowright,16.6561086,565,534.5,11,1,1,23,35,25,35,TRUE
null,null,psychophysics,24,175052,0.0-3.0-1.10,,key,null,16.6779661,565,534.5,,,,,,,,
2365,arrowright,psychophysics,25,177421,0.0-3.0-0.11,,key,arrowright,16.67375887,565,534.5,12,1,-1,24,15,25,35,FALSE
