"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","trial","block","test_pos","test_inner_radius","test_outer_radius","ref_inner_radius","ref_outer_radius","test_bigger"
"6605.000000000001","{""p_id"":""9172"",""age"":""19"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}","survey-html-form","0","6610","0.0-0.0","","","","","","","","","","","","","",""
"6951","\","html-keyboard-response","1","13563","0.0-1.0","<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>","","","","","","","","","","","","",""
"3080.999999999998","enter","psychophysics","2","16651","0.0-2.0","","key","enter","16.668478260869566","499","487.5","","","","","","","",""
"866","arrowleft","psychophysics","3","17522","0.0-3.0-0.0","","key","arrowleft","16.666666666666668","499","487.5","1","1","-1","26","15","25","35","true"
"null","null","psychophysics","4","18525","0.0-3.0-1.0","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"355.00000000000364","arrowleft","psychophysics","5","18886","0.0-3.0-0.1","","key","arrowleft","16.428571428571427","499","487.5","2","1","1","25","15","25","35","false"
"null","null","psychophysics","6","19889","0.0-3.0-1.1","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"421.99999999999636","arrowright","psychophysics","7","20316","0.0-3.0-0.2","","key","arrowright","16.52","499","487.5","3","1","-1","26","15","25","35","false"
"null","null","psychophysics","8","21318","0.0-3.0-1.2","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"373","arrowright","psychophysics","9","21695","0.0-3.0-0.3","","key","arrowright","16.636363636363637","499","487.5","4","1","-1","25","15","25","35","false"
"null","null","psychophysics","10","22697","0.0-3.0-1.3","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"260","arrowright","psychophysics","11","22961","0.0-3.0-0.4","","key","arrowright","16.6","499","487.5","5","1","-1","27","15","25","35","false"
"null","null","psychophysics","12","23963","0.0-3.0-1.4","","key","null","16.64406779661017","499","487.5","","","","","","","",""
"471","arrowright","psychophysics","13","24436","0.0-3.0-0.5","","key","arrowright","16.666666666666668","499","487.5","6","1","-1","20","35","25","35","false"
"null","null","psychophysics","14","25438","0.0-3.0-1.5","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"404","arrowleft","psychophysics","15","25847","0.0-3.0-0.6","","key","arrowleft","16.541666666666668","499","487.5","7","1","-1","30","15","25","35","true"
"null","null","psychophysics","16","26848","0.0-3.0-1.6","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"474.00000000000364","arrowright","psychophysics","17","27327","0.0-3.0-0.7","","key","arrowright","16.678571428571427","499","487.5","8","1","1","30","35","25","35","true"
"null","null","psychophysics","18","28328","0.0-3.0-1.7","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"370","arrowright","psychophysics","19","28701","0.0-3.0-0.8","","key","arrowright","16.666666666666668","499","487.5","9","1","-1","23","15","25","35","false"
"null","null","psychophysics","20","29703","0.0-3.0-1.8","","key","null","16.64406779661017","499","487.5","","","","","","","",""
"707","arrowleft","psychophysics","21","30414","0.0-3.0-0.9","","key","arrowleft","16.642857142857142","499","487.5","10","1","-1","27","15","25","35","true"
"null","null","psychophysics","22","31415","0.0-3.0-1.9","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"399.99999999999636","arrowright","psychophysics","23","31820","0.0-3.0-0.10","","key","arrowright","16.652173913043477","499","487.5","11","1","-1","20","15","25","35","false"
"null","null","psychophysics","24","32824","0.0-3.0-1.10","","key","null","16.65","499","487.5","","","","","","","",""
"324","arrowleft","psychophysics","25","33152","0.0-3.0-0.11","","key","arrowleft","16.666666666666668","499","487.5","12","1","-1","25","35","25","35","true"
"null","null","psychophysics","26","34155","0.0-3.0-1.11","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"447.0000000000073","arrowright","psychophysics","27","34604","0.0-3.0-0.12","","key","arrowright","16.5","499","487.5","13","1","-1","26","35","25","35","false"
"null","null","psychophysics","28","35608","0.0-3.0-1.12","","key","null","16.633333333333333","499","487.5","","","","","","","",""
"1149","arrowright","psychophysics","29","36759","0.0-3.0-0.13","","key","arrowright","16.66176470588235","499","487.5","14","1","1","20","15","25","35","true"
"null","null","psychophysics","30","37760","0.0-3.0-1.13","","key","null","16.71186440677966","499","487.5","","","","","","","",""
"431","arrowleft","psychophysics","31","38194","0.0-3.0-0.14","","key","arrowleft","16.64","499","487.5","15","1","-1","26","35","25","35","true"
"null","null","psychophysics","32","39196","0.0-3.0-1.14","","key","null","16.71186440677966","499","487.5","","","","","","","",""
"387","arrowright","psychophysics","33","39589","0.0-3.0-0.15","","key","arrowright","16.608695652173914","499","487.5","16","1","-1","20","35","25","35","false"
"null","null","psychophysics","34","40592","0.0-3.0-1.15","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"625.9999999999927","arrowright","psychophysics","35","41221","0.0-3.0-0.16","","key","arrowright","16.62162162162162","499","487.5","17","1","-1","26","35","25","35","false"
"null","null","psychophysics","36","42222","0.0-3.0-1.16","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"413","arrowleft","psychophysics","37","42638","0.0-3.0-0.17","","key","arrowleft","16.666666666666668","499","487.5","18","1","1","25","15","25","35","false"
"null","null","psychophysics","38","43640","0.0-3.0-1.17","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"794","arrowleft","psychophysics","39","44438","0.0-3.0-0.18","","key","arrowleft","16.659574468085108","499","487.5","19","1","1","20","35","25","35","false"
"null","null","psychophysics","40","45439","0.0-3.0-1.18","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"550","arrowleft","psychophysics","41","45992","0.0-3.0-0.19","","key","arrowleft","16.6875","499","487.5","20","1","1","24","35","25","35","false"
"null","null","psychophysics","42","46995","0.0-3.0-1.19","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"575","arrowright","psychophysics","43","47575","0.0-3.0-0.20","","key","arrowright","16.676470588235293","499","487.5","21","1","1","30","35","25","35","true"
"null","null","psychophysics","44","48577","0.0-3.0-1.20","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"643","arrowright","psychophysics","45","49224","0.0-3.0-0.21","","key","arrowright","16.63157894736842","499","487.5","22","1","-1","26","15","25","35","false"
"null","null","psychophysics","46","50226","0.0-3.0-1.21","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"495.0000000000073","arrowleft","psychophysics","47","50725","0.0-3.0-0.22","","key","arrowleft","16.689655172413794","499","487.5","23","1","-1","30","35","25","35","true"
"null","null","psychophysics","48","51727","0.0-3.0-1.22","","key","null","16.64406779661017","499","487.5","","","","","","","",""
"586.9999999999927","arrowright","psychophysics","49","52319","0.0-3.0-0.23","","key","arrowright","16.685714285714287","499","487.5","24","1","1","27","15","25","35","true"
"null","null","psychophysics","50","53320","0.0-3.0-1.23","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"578","arrowleft","psychophysics","51","53901","0.0-3.0-0.24","","key","arrowleft","16.647058823529413","499","487.5","25","1","-1","25","15","25","35","true"
"null","null","psychophysics","52","54903","0.0-3.0-1.24","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"644","arrowleft","psychophysics","53","55551","0.0-3.0-0.25","","key","arrowleft","16.657894736842106","499","487.5","26","1","-1","24","15","25","35","true"
"null","null","psychophysics","54","56552","0.0-3.0-1.25","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"573","arrowleft","psychophysics","55","57128","0.0-3.0-0.26","","key","arrowleft","16.666666666666668","499","487.5","27","1","-1","27","15","25","35","true"
"null","null","psychophysics","56","58129","0.0-3.0-1.26","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"546","arrowleft","psychophysics","57","58677","0.0-3.0-0.27","","key","arrowleft","16.625","499","487.5","28","2","-1","27","35","25","35","true"
"null","null","psychophysics","58","59679","0.0-3.0-1.27","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"759","arrowleft","html-keyboard-response","59","60441","0.0-3.0-2.27-0.27","<div style=""color: white; text-align: center; vertical-align: top; display: inline-block; width: 800px; margin: auto""><p>You have completed 10% of the trials. You are on block 2 of 10. <br>Good job! Take a break if you need to.</p><p>Press any key to continue the experiment.</p></div>","","","","","","","","","","","","",""
"584","arrowright","psychophysics","60","62026","0.0-3.0-0.28","","key","arrowright","16.696969696969695","499","487.5","29","2","1","23","15","25","35","true"
"null","null","psychophysics","61","63032","0.0-3.0-1.28","","key","null","16.633333333333333","499","487.5","","","","","","","",""
"475","arrowright","psychophysics","62","63510","0.0-3.0-0.29","","key","arrowright","16.62962962962963","499","487.5","30","2","-1","20","15","25","35","false"
"null","null","psychophysics","63","64515","0.0-3.0-1.29","","key","null","16.65","499","487.5","","","","","","","",""
"518.9999999999927","arrowleft","psychophysics","64","65037","0.0-3.0-0.30","","key","arrowleft","16.666666666666668","499","487.5","31","2","-1","27","15","25","35","true"
"null","null","psychophysics","65","66039","0.0-3.0-1.30","","key","null","16.64406779661017","499","487.5","","","","","","","",""
"574","arrowleft","psychophysics","66","66616","0.0-3.0-0.31","","key","arrowleft","16.647058823529413","499","487.5","32","2","-1","26","15","25","35","true"
"null","null","psychophysics","67","67618","0.0-3.0-1.31","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"533.0000000000146","arrowright","psychophysics","68","68153","0.0-3.0-0.32","","key","arrowright","16.677419354838708","499","487.5","33","2","1","30","15","25","35","true"
"null","null","psychophysics","69","69156","0.0-3.0-1.32","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"529","arrowleft","psychophysics","70","69688","0.0-3.0-0.33","","key","arrowleft","16.677419354838708","499","487.5","34","2","-1","23","15","25","35","true"
"null","null","psychophysics","71","70690","0.0-3.0-1.33","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"552","arrowright","psychophysics","72","71256","0.0-3.0-0.34","","key","arrowright","16.575757575757574","499","487.5","35","2","1","26","15","25","35","true"
"null","null","psychophysics","73","72258","0.0-3.0-1.34","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"623","arrowleft","psychophysics","74","72884","0.0-3.0-0.35","","key","arrowleft","16.594594594594593","499","487.5","36","2","1","23","35","25","35","false"
"null","null","psychophysics","75","73886","0.0-3.0-1.35","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"551","arrowleft","psychophysics","76","74439","0.0-3.0-0.36","","key","arrowleft","16.65625","499","487.5","37","2","-1","24","15","25","35","true"
"null","null","psychophysics","77","75445","0.0-3.0-1.36","","key","null","16.666666666666668","499","487.5","","","","","","","",""
"531","arrowright","psychophysics","78","75978","0.0-3.0-0.37","","key","arrowright","16.677419354838708","499","487.5","38","2","-1","20","35","25","35","false"
"null","null","psychophysics","79","76980","0.0-3.0-1.37","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"636","arrowleft","psychophysics","80","77618","0.0-3.0-0.38","","key","arrowleft","16.675675675675677","499","487.5","39","2","-1","25","15","25","35","true"
"null","null","psychophysics","81","78620","0.0-3.0-1.38","","key","null","16.64406779661017","499","487.5","","","","","","","",""
"1006","arrowright","psychophysics","82","79630","0.0-3.0-0.39","","key","arrowright","16.65","499","487.5","40","2","1","26","15","25","35","true"
"null","null","psychophysics","83","80632","0.0-3.0-1.39","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"602.9999999999854","arrowright","psychophysics","84","81238","0.0-3.0-0.40","","key","arrowright","16.62857142857143","499","487.5","41","2","1","25","35","25","35","true"
"null","null","psychophysics","85","82242","0.0-3.0-1.40","","key","null","16.633333333333333","499","487.5","","","","","","","",""
"586","arrowright","psychophysics","86","82831","0.0-3.0-0.41","","key","arrowright","16.647058823529413","499","487.5","42","2","-1","20","35","25","35","false"
"null","null","psychophysics","87","83834","0.0-3.0-1.41","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"736","arrowright","psychophysics","88","84575","0.0-3.0-0.42","","key","arrowright","16.613636363636363","499","487.5","43","2","-1","20","15","25","35","false"
"null","null","psychophysics","89","85577","0.0-3.0-1.42","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"745","arrowright","psychophysics","90","86325","0.0-3.0-0.43","","key","arrowright","16.681818181818183","499","487.5","44","2","1","23","15","25","35","true"
"null","null","psychophysics","91","87326","0.0-3.0-1.43","","key","null","16.64406779661017","499","487.5","","","","","","","",""
"431","arrowleft","psychophysics","92","87760","0.0-3.0-0.44","","key","arrowleft","16.64","499","487.5","45","2","1","23","15","25","35","false"
"null","null","psychophysics","93","88763","0.0-3.0-1.44","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"574","arrowright","psychophysics","94","89341","0.0-3.0-0.45","","key","arrowright","16.647058823529413","499","487.5","46","2","1","30","35","25","35","true"
"null","null","psychophysics","95","90343","0.0-3.0-1.45","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"545.0000000000146","arrowleft","psychophysics","96","90890","0.0-3.0-0.46","","key","arrowleft","16.65625","499","487.5","47","2","-1","26","15","25","35","true"
"null","null","psychophysics","97","91892","0.0-3.0-1.46","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"896.9999999999854","arrowright","psychophysics","98","92789","0.0-3.0-0.47","","key","arrowright","16.660377358490567","499","487.5","48","2","1","23","15","25","35","true"
"null","null","psychophysics","99","93791","0.0-3.0-1.47","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"551","arrowleft","psychophysics","100","94345","0.0-3.0-0.48","","key","arrowleft","16.6875","499","487.5","49","2","-1","26","15","25","35","true"
"null","null","psychophysics","101","95347","0.0-3.0-1.48","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"609","arrowright","psychophysics","102","95960","0.0-3.0-0.49","","key","arrowright","16.63888888888889","499","487.5","50","2","1","30","15","25","35","true"
"null","null","psychophysics","103","96962","0.0-3.0-1.49","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"582","arrowleft","psychophysics","104","97547","0.0-3.0-0.50","","key","arrowleft","16.647058823529413","499","487.5","51","2","-1","23","15","25","35","true"
"null","null","psychophysics","105","98549","0.0-3.0-1.50","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"462","arrowleft","psychophysics","106","99013","0.0-3.0-0.51","","key","arrowleft","16.59259259259259","499","487.5","52","2","-1","30","15","25","35","true"
"null","null","psychophysics","107","100015","0.0-3.0-1.51","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"489.00000000001455","arrowleft","psychophysics","108","100509","0.0-3.0-0.52","","key","arrowleft","16.586206896551722","499","487.5","53","2","1","27","35","25","35","false"
"null","null","psychophysics","109","101511","0.0-3.0-1.52","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"577","arrowright","psychophysics","110","102089","0.0-3.0-0.53","","key","arrowright","16.676470588235293","499","487.5","54","2","1","30","15","25","35","true"
"null","null","psychophysics","111","103091","0.0-3.0-1.53","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"927","arrowleft","psychophysics","112","104019","0.0-3.0-0.54","","key","arrowleft","16.672727272727272","499","487.5","55","2","-1","25","15","25","35","true"
"null","null","psychophysics","113","105021","0.0-3.0-1.54","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"677","arrowleft","psychophysics","114","105702","0.0-3.0-0.55","","key","arrowleft","16.675","499","487.5","56","3","1","23","35","25","35","false"
"null","null","psychophysics","115","106705","0.0-3.0-1.55","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"535","arrowright","html-keyboard-response","116","107241","0.0-3.0-2.55-0.55","<div style=""color: white; text-align: center; vertical-align: top; display: inline-block; width: 800px; margin: auto""><p>You have completed 20% of the trials. You are on block 3 of 10. <br>Good job! Take a break if you need to.</p><p>Press any key to continue the experiment.</p></div>","","","","","","","","","","","","",""
"564.9999999999854","arrowleft","psychophysics","117","108811","0.0-3.0-0.56","","key","arrowleft","16.625","499","487.5","57","3","-1","30","35","25","35","true"
"null","null","psychophysics","118","109814","0.0-3.0-1.56","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"637","arrowright","psychophysics","119","110455","0.0-3.0-0.57","","key","arrowright","16.5","499","487.5","58","3","1","24","15","25","35","true"
"null","null","psychophysics","120","111457","0.0-3.0-1.57","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"599","arrowleft","psychophysics","121","112059","0.0-3.0-0.58","","key","arrowleft","16.65714285714286","499","487.5","59","3","-1","25","35","25","35","true"
"null","null","psychophysics","122","113061","0.0-3.0-1.58","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"591","arrowright","psychophysics","123","113655","0.0-3.0-0.59","","key","arrowright","16.62857142857143","499","487.5","60","3","-1","23","35","25","35","false"
"null","null","psychophysics","124","114658","0.0-3.0-1.59","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"641","arrowleft","psychophysics","125","115302","0.0-3.0-0.60","","key","arrowleft","16.68421052631579","499","487.5","61","3","1","20","35","25","35","false"
"null","null","psychophysics","126","116304","0.0-3.0-1.60","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"526","arrowleft","psychophysics","127","116833","0.0-3.0-0.61","","key","arrowleft","16.64516129032258","499","487.5","62","3","-1","25","35","25","35","true"
"null","null","psychophysics","128","117834","0.0-3.0-1.61","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"679","arrowleft","psychophysics","129","118515","0.0-3.0-0.62","","key","arrowleft","16.65","499","487.5","63","3","-1","27","15","25","35","true"
"null","null","psychophysics","130","119517","0.0-3.0-1.62","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"423","arrowleft","psychophysics","131","119941","0.0-3.0-0.63","","key","arrowleft","16.666666666666668","499","487.5","64","3","1","25","15","25","35","false"
"null","null","psychophysics","132","120943","0.0-3.0-1.63","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"680","arrowleft","psychophysics","133","121631","0.0-3.0-0.64","","key","arrowleft","16.609756097560975","499","487.5","65","3","-1","23","15","25","35","true"
"null","null","psychophysics","134","122633","0.0-3.0-1.64","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"498","arrowleft","psychophysics","135","123131","0.0-3.0-0.65","","key","arrowleft","16.620689655172413","499","487.5","66","3","-1","30","35","25","35","true"
"null","null","psychophysics","136","124132","0.0-3.0-1.65","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"549","arrowleft","psychophysics","137","124682","0.0-3.0-0.66","","key","arrowleft","16.65625","499","487.5","67","3","-1","26","15","25","35","true"
"null","null","psychophysics","138","125684","0.0-3.0-1.66","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"763","arrowleft","psychophysics","139","126449","0.0-3.0-0.67","","key","arrowleft","16.666666666666668","499","487.5","68","3","-1","25","15","25","35","true"
"null","null","psychophysics","140","127451","0.0-3.0-1.67","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"759.0000000000146","arrowleft","psychophysics","141","128213","0.0-3.0-0.68","","key","arrowleft","16.666666666666668","499","487.5","69","3","1","20","15","25","35","false"
"null","null","psychophysics","142","129215","0.0-3.0-1.68","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"531.9999999999854","arrowright","psychophysics","143","129750","0.0-3.0-0.69","","key","arrowright","16.70967741935484","499","487.5","70","3","-1","26","35","25","35","false"
"null","null","psychophysics","144","130753","0.0-3.0-1.69","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"496","arrowright","psychophysics","145","131255","0.0-3.0-0.70","","key","arrowright","16.620689655172413","499","487.5","71","3","1","27","15","25","35","true"
"null","null","psychophysics","146","132260","0.0-3.0-1.70","","key","null","16.666666666666668","499","487.5","","","","","","","",""
"565","arrowright","psychophysics","147","132826","0.0-3.0-0.71","","key","arrowright","16.636363636363637","499","487.5","72","3","-1","27","35","25","35","false"
"null","null","psychophysics","148","133827","0.0-3.0-1.71","","key","null","16.64406779661017","499","487.5","","","","","","","",""
"632","arrowleft","psychophysics","149","134462","0.0-3.0-0.72","","key","arrowleft","16.7027027027027","499","487.5","73","3","1","27","35","25","35","false"
"null","null","psychophysics","150","135464","0.0-3.0-1.72","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"480.0000000000291","arrowright","psychophysics","151","135946","0.0-3.0-0.73","","key","arrowright","16.678571428571427","499","487.5","74","3","-1","20","35","25","35","false"
"null","null","psychophysics","152","136948","0.0-3.0-1.73","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"603","arrowleft","psychophysics","153","137552","0.0-3.0-0.74","","key","arrowleft","16.685714285714287","499","487.5","75","3","1","20","35","25","35","false"
"null","null","psychophysics","154","138557","0.0-3.0-1.74","","key","null","16.666666666666668","499","487.5","","","","","","","",""
"817","arrowleft","psychophysics","155","139376","0.0-3.0-0.75","","key","arrowleft","16.666666666666668","499","487.5","76","3","-1","30","15","25","35","true"
"null","null","psychophysics","156","140378","0.0-3.0-1.75","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"548","arrowleft","psychophysics","157","140929","0.0-3.0-0.76","","key","arrowleft","16.65625","499","487.5","77","3","-1","30","35","25","35","true"
"null","null","psychophysics","158","141931","0.0-3.0-1.76","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"883","arrowright","psychophysics","159","142816","0.0-3.0-0.77","","key","arrowright","16.653846153846153","499","487.5","78","3","1","23","35","25","35","true"
"null","null","psychophysics","160","143817","0.0-3.0-1.77","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"515","arrowright","psychophysics","161","144343","0.0-3.0-0.78","","key","arrowright","16.64516129032258","499","487.5","79","3","1","30","15","25","35","true"
"null","null","psychophysics","162","145345","0.0-3.0-1.78","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"493","arrowleft","psychophysics","163","145842","0.0-3.0-0.79","","key","arrowleft","16.620689655172413","499","487.5","80","3","-1","26","15","25","35","true"
"null","null","psychophysics","164","146845","0.0-3.0-1.79","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"466.0000000000291","arrowright","psychophysics","165","147315","0.0-3.0-0.80","","key","arrowright","16.666666666666668","499","487.5","81","3","-1","24","35","25","35","false"
"null","null","psychophysics","166","148317","0.0-3.0-1.80","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"618.0000000000291","arrowleft","psychophysics","167","148939","0.0-3.0-0.81","","key","arrowleft","16.56756756756757","499","487.5","82","3","1","20","35","25","35","false"
"null","null","psychophysics","168","149942","0.0-3.0-1.81","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"531.0000000000291","arrowright","psychophysics","169","150475","0.0-3.0-0.82","","key","arrowright","16.64516129032258","499","487.5","83","3","1","26","35","25","35","true"
"null","null","psychophysics","170","151477","0.0-3.0-1.82","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"506","arrowleft","psychophysics","171","151986","0.0-3.0-0.83","","key","arrowleft","16.633333333333333","499","487.5","84","4","1","25","35","25","35","false"
"null","null","psychophysics","172","152989","0.0-3.0-1.83","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"579","arrowup","html-keyboard-response","173","153569","0.0-3.0-2.83-0.83","<div style=""color: white; text-align: center; vertical-align: top; display: inline-block; width: 800px; margin: auto""><p>You have completed 30% of the trials. You are on block 4 of 10. <br>Good job! Take a break if you need to.</p><p>Press any key to continue the experiment.</p></div>","","","","","","","","","","","","",""
"581","arrowright","psychophysics","174","155153","0.0-3.0-0.84","","key","arrowright","16.647058823529413","499","487.5","85","4","1","30","15","25","35","true"
"null","null","psychophysics","175","156154","0.0-3.0-1.84","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"475","arrowleft","psychophysics","176","156630","0.0-3.0-0.85","","key","arrowleft","16.666666666666668","499","487.5","86","4","-1","26","35","25","35","true"
"null","null","psychophysics","177","157635","0.0-3.0-1.85","","key","null","16.633333333333333","499","487.5","","","","","","","",""
"423","arrowright","psychophysics","178","158060","0.0-3.0-0.86","","key","arrowright","16.625","499","487.5","87","4","-1","20","15","25","35","false"
"null","null","psychophysics","179","159062","0.0-3.0-1.86","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"536","arrowright","psychophysics","180","159601","0.0-3.0-0.87","","key","arrowright","16.625","499","487.5","88","4","1","27","35","25","35","true"
"null","null","psychophysics","181","160602","0.0-3.0-1.87","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"801","arrowright","psychophysics","182","161406","0.0-3.0-0.88","","key","arrowright","16.638297872340427","499","487.5","89","4","1","24","35","25","35","true"
"null","null","psychophysics","183","162408","0.0-3.0-1.88","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"428.0000000000291","arrowleft","psychophysics","184","162838","0.0-3.0-0.89","","key","arrowleft","16.64","499","487.5","90","4","1","20","15","25","35","false"
"null","null","psychophysics","185","163840","0.0-3.0-1.89","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"401","arrowleft","psychophysics","186","164244","0.0-3.0-0.90","","key","arrowleft","16.695652173913043","499","487.5","91","4","1","20","15","25","35","false"
"null","null","psychophysics","187","165246","0.0-3.0-1.90","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"554","arrowleft","psychophysics","188","165804","0.0-3.0-0.91","","key","arrowleft","16.636363636363637","499","487.5","92","4","1","25","35","25","35","false"
"null","null","psychophysics","189","166806","0.0-3.0-1.91","","key","null","16.677966101694917","499","487.5","","","","","","","",""
"539","arrowright","psychophysics","190","167352","0.0-3.0-0.92","","key","arrowright","16.625","499","487.5","93","4","1","26","35","25","35","true"
"null","null","psychophysics","191","168354","0.0-3.0-1.92","","key","null","16.694915254237287","499","487.5","","","","","","","",""
"386","arrowleft","psychophysics","192","168744","0.0-3.0-0.93","","key","arrowleft","16.636363636363637","499","487.5","94","4","-1","25","35","25","35","true"
"null","null","psychophysics","193","169749","0.0-3.0-1.93","","key","null","16.616666666666667","499","487.5","","","","","","","",""
"457","arrowright","psychophysics","194","170209","0.0-3.0-0.94","","key","arrowright","16.692307692307693","499","487.5","95","4","-1","24","15","25","35","false"
"null","null","psychophysics","195","171215","0.0-3.0-1.94","","key","null","16.65","499","487.5","","","","","","","",""
"500","arrowleft","psychophysics","196","171718","0.0-3.0-0.95","","key","arrowleft","16.655172413793103","499","487.5","96","4","-1","25","35","25","35","true"
"null","null","psychophysics","197","172719","0.0-3.0-1.95","","key","null","16.661016949152543","499","487.5","","","","","","","",""
"445","arrowright","psychophysics","198","173167","0.0-3.0-0.96","","key","arrowright","16.653846153846153","499","487.5","97","4","1","27","35","25","35","true"
