"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"true","fullscreen","0","26336","0.0-0.0","","","","","","","",""
"","html-keyboard-response","1","28513","0.0-1.0","2172.3000000715256","Welcome to the experiment. Press any key to begin.","13","","","","",""
"","survey-html-form","2","50179","0.0-2.0","21662.599999904633","","","{""p_id"":""9275"",""age"":""19"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}","","","",""
"","html-keyboard-response","3","75161","0.0-3.0","24979.599999904633","<p>Please fixate at the center '+' sign which will appear once you press any key. Then, <strong> an image </strong> will be shown in the center of the screen.</p><p>The image will contain an object.This will be followed by a <strong> Choice Screen </strong> containing two objects. Please choose the option <strong>[Click on the object]</strong> that you think was present in the image<p>Press any key to begin.</p>","13","","","","",""
"","html-keyboard-response","4","78178","0.0-4.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","5","78684","0.0-5.0","null","stimuli/images_hvm10/im2.png","","","null","2","6","0"
"","html-button-response","6","100170","0.0-6.0","21481.799999952316","","","","1","","",""
"","html-keyboard-response","7","101177","0.0-7.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","8","101698","0.0-8.0","null","stimuli/images_hvm10/im131.png","","","null","131","6","8"
"","html-button-response","9","111474","0.0-9.0","9772.199999928474","","","","1","","",""
"","html-keyboard-response","10","112477","0.0-10.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","11","112998","0.0-11.0","null","stimuli/images_hvm10/im100.png","","","null","100","0","5"
"","html-button-response","12","115005","0.0-12.0","2004","","","","1","","",""
"","html-keyboard-response","13","116029","0.0-13.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","14","116538","0.0-14.0","null","stimuli/images_hvm10/im157.png","","","null","157","1","7"
"","html-button-response","15","118438","0.0-15.0","1897.3999999761581","","","","1","","",""
"","html-keyboard-response","16","119458","0.0-16.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","17","119961","0.0-17.0","null","stimuli/images_hvm10/im115.png","","","null","115","2","5"
"","html-button-response","18","125493","0.0-18.0","5530.399999976158","","","","1","","",""
"","html-keyboard-response","19","126502","0.0-19.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","20","127013","0.0-20.0","null","stimuli/images_hvm10/im142.png","","","null","142","8","7"
"","html-button-response","21","128629","0.0-21.0","1612.8999999761581","","","","0","","",""
"","html-keyboard-response","22","129633","0.0-22.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","23","130148","0.0-23.0","null","stimuli/images_hvm10/im163.png","","","null","163","8","2"
"","html-button-response","24","131160","0.0-24.0","1009.0999999046326","","","","0","","",""
"","html-keyboard-response","25","132178","0.0-25.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","26","132687","0.0-26.0","null","stimuli/images_hvm10/im187.png","","","null","187","9","0"
"","html-button-response","27","133765","0.0-27.0","1075.9000000953674","","","","1","","",""
"","html-keyboard-response","28","134787","0.0-28.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","29","135293","0.0-29.0","null","stimuli/images_hvm10/im42.png","","","null","42","0","2"
"","html-button-response","30","137086","0.0-30.0","1790.7999999523163","","","","0","","",""
"","html-keyboard-response","31","138098","0.0-31.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","32","138609","0.0-32.0","null","stimuli/images_hvm10/im103.png","","","null","103","4","5"
"","html-button-response","33","139373","0.0-33.0","761.6000000238419","","","","1","","",""
"","html-keyboard-response","34","140389","0.0-34.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","35","140897","0.0-35.0","null","stimuli/images_hvm10/im165.png","","","null","165","5","8"
"","html-button-response","36","143283","0.0-36.0","2382.5","","","","1","","",""
"","html-keyboard-response","37","144289","0.0-37.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","38","144802","0.0-38.0","null","stimuli/images_hvm10/im184.png","","","null","184","4","9"
"","html-button-response","39","145655","0.0-39.0","849.3999999761581","","","","1","","",""
"","html-keyboard-response","40","146669","0.0-40.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","41","147178","0.0-41.0","null","stimuli/images_hvm10/im74.png","","","null","74","3","2"
"","html-button-response","42","148038","0.0-42.0","857.8999999761581","","","","0","","",""
"","html-keyboard-response","43","149049","0.0-43.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","44","149557","0.0-44.0","null","stimuli/images_hvm10/im28.png","","","null","28","4","1"
"","html-button-response","45","150396","0.0-45.0","835.8000000715256","","","","1","","",""
"","html-keyboard-response","46","151413","0.0-46.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","47","151932","0.0-47.0","null","stimuli/images_hvm10/im140.png","","","null","140","7","4"
"","html-button-response","48","152751","0.0-48.0","816.4000000953674","","","","0","","",""
"","html-keyboard-response","49","153757","0.0-49.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","50","154269","0.0-50.0","null","stimuli/images_hvm10/im147.png","","","null","147","7","8"
"","html-button-response","51","155160","0.0-51.0","888.5","","","","0","","",""
