"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"true","fullscreen","0","3168","0.0-0.0","","","","","","","",""
"","html-keyboard-response","1","6822","0.0-1.0","3652.400000035763","Welcome to the experiment. Press any key to begin.","32","","","","",""
"","survey-html-form","2","25270","0.0-2.0","18444.899999976158","","","{""p_id"":""5945"",""age"":""19"",""handedness"":""right"",""sex"":""male"",""other_sex"":""""}","","","",""
"","html-keyboard-response","3","30368","0.0-3.0","5096.800000011921","<p>Please fixate at the center '+' sign which will appear once you press any key. Then, <strong> an image </strong> will be shown in the center of the screen.</p><p>The image will contain an object.This will be followed by a <strong> Choice Screen </strong> containing two objects. Please choose the option <strong>[Click on the object]</strong> that you think was present in the image<p>Press any key to begin.</p>","32","","","","",""
"","html-keyboard-response","4","33387","0.0-4.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","5","33900","0.0-5.0","null","stimuli/images_hvm10/im64.png","","","null","64","3","2"
"","html-button-response","6","37069","0.0-6.0","3167.5","","","","0","","",""
"","html-keyboard-response","7","38077","0.0-7.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","8","38590","0.0-8.0","null","stimuli/images_hvm10/im23.png","","","null","23","7","1"
"","html-button-response","9","39771","0.0-9.0","1179.6000000238419","","","","1","","",""
"","html-keyboard-response","10","40773","0.0-10.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","11","41282","0.0-11.0","null","stimuli/images_hvm10/im47.png","","","null","47","2","4"
"","html-button-response","12","42952","0.0-12.0","1668.6000000238419","","","","1","","",""
"","html-keyboard-response","13","43954","0.0-13.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","14","44469","0.0-14.0","null","stimuli/images_hvm10/im50.png","","","null","50","4","2"
"","html-button-response","15","46419","0.0-15.0","1948.4000000357628","","","","1","","",""
