"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","button_pressed","images","left_choice","right_choice"
"","image-button-response","190","150017","0.0-190.0","null","../stimuli/images_hvm10/im134.png","","null","134","6","0"
"","html-button-response","191","151778","0.0-191.0","1760","","","0","","",""
"","html-keyboard-response","192","152780","0.0-192.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","193","153282","0.0-193.0","null","../stimuli/images_hvm10/im159.png","","null","159","7","5"
"","html-button-response","194","153858","0.0-194.0","574","","","0","","",""
"","html-keyboard-response","195","154860","0.0-195.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","196","155362","0.0-196.0","null","../stimuli/images_hvm10/im164.png","","null","164","7","8"
"","html-button-response","197","155945","0.0-197.0","582","","","0","","",""
"","html-keyboard-response","198","156946","0.0-198.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","199","157447","0.0-199.0","null","../stimuli/images_hvm10/im140.png","","null","140","9","7"
"","html-button-response","200","158193","0.0-200.0","744","","","1","","",""
"","html-keyboard-response","201","159194","0.0-201.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","202","159695","0.0-202.0","null","../stimuli/images_hvm10/im136.png","","null","136","6","4"
"","html-button-response","203","160275","0.0-203.0","578.9999999999709","","","1","","",""
"","html-keyboard-response","204","161277","0.0-204.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","205","161778","0.0-205.0","null","../stimuli/images_hvm10/im101.png","","null","101","5","6"
"","html-button-response","206","162327","0.0-206.0","548","","","1","","",""
"","html-keyboard-response","207","163329","0.0-207.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","208","163831","0.0-208.0","null","../stimuli/images_hvm10/im176.png","","null","176","5","8"
"","html-button-response","209","165280","0.0-209.0","1448","","","1","","",""
"","html-keyboard-response","210","166282","0.0-210.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","211","166783","0.0-211.0","null","../stimuli/images_hvm10/im137.png","","null","137","9","6"
"","html-button-response","212","167235","0.0-212.0","451","","","1","","",""
"","html-keyboard-response","213","168237","0.0-213.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","214","168738","0.0-214.0","null","../stimuli/images_hvm10/im149.png","","null","149","1","7"
"","html-button-response","215","169232","0.0-215.0","492","","","1","","",""
"","html-keyboard-response","216","170233","0.0-216.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","217","170735","0.0-217.0","null","../stimuli/images_hvm10/im82.png","","null","82","4","9"
"","html-button-response","218","171415","0.0-218.0","680","","","0","","",""
"","html-keyboard-response","219","172417","0.0-219.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","220","172919","0.0-220.0","null","../stimuli/images_hvm10/im58.png","","null","58","8","2"
"","html-button-response","221","173413","0.0-221.0","493","","","0","","",""
"","html-keyboard-response","222","174415","0.0-222.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","223","174918","0.0-223.0","null","../stimuli/images_hvm10/im154.png","","null","154","3","7"
"","html-button-response","224","175640","0.0-224.0","721","","","0","","",""
"","html-keyboard-response","225","176642","0.0-225.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","226","177143","0.0-226.0","null","../stimuli/images_hvm10/im188.png","","null","188","1","9"
"","html-button-response","227","177628","0.0-227.0","484","","","0","","",""
"","html-keyboard-response","228","178629","0.0-228.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","229","179132","0.0-229.0","null","../stimuli/images_hvm10/im152.png","","null","152","7","2"
"","html-button-response","230","179746","0.0-230.0","613","","","0","","",""
"","html-keyboard-response","231","180748","0.0-231.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","232","181249","0.0-232.0","null","../stimuli/images_hvm10/im63.png","","null","63","3","5"
"","html-button-response","233","181792","0.0-233.0","542","","","0","","",""
"","html-keyboard-response","234","182793","0.0-234.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
