"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"","image-button-response","545","647204","0.0-545.0","null","stimuli/images_hvm10/im188.png","","","null","188","1","9"
"","html-button-response","546","648105","0.0-546.0","898.2999999523163","","","","1","","",""
"","html-keyboard-response","547","649109","0.0-547.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","548","649617","0.0-548.0","null","stimuli/images_hvm10/im192.png","","","null","192","3","9"
"","html-button-response","549","650453","0.0-549.0","833.2000000476837","","","","1","","",""
"","html-keyboard-response","550","651459","0.0-550.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","551","651967","0.0-551.0","null","stimuli/images_hvm10/im65.png","","","null","65","4","3"
"","html-button-response","552","652817","0.0-552.0","846.2000000476837","","","","1","","",""
"","html-keyboard-response","553","653825","0.0-553.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","554","654332","0.0-554.0","null","stimuli/images_hvm10/im121.png","","","null","121","8","6"
"","html-button-response","555","655470","0.0-555.0","1134.7999999523163","","","","0","","",""
"","html-keyboard-response","556","656476","0.0-556.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","557","656984","0.0-557.0","null","stimuli/images_hvm10/im95.png","","","null","95","2","4"
"","html-button-response","558","657858","0.0-558.0","870.2999999523163","","","","1","","",""
"","html-keyboard-response","559","658865","0.0-559.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","560","659370","0.0-560.0","null","stimuli/images_hvm10/im91.png","","","null","91","2","4"
"","html-button-response","561","660262","0.0-561.0","888.5999999046326","","","","1","","",""
"","html-keyboard-response","562","661267","0.0-562.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","563","661776","0.0-563.0","null","stimuli/images_hvm10/im111.png","","","null","111","3","5"
"","html-button-response","564","662634","0.0-564.0","854.7000000476837","","","","1","","",""
"","html-keyboard-response","565","663637","0.0-565.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","566","664146","0.0-566.0","null","stimuli/images_hvm10/im98.png","","","null","98","4","6"
"","html-button-response","567","664990","0.0-567.0","840.7999999523163","","","","0","","",""
"","html-keyboard-response","568","665998","0.0-568.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","569","666505","0.0-569.0","null","stimuli/images_hvm10/im92.png","","","null","92","0","4"
"","html-button-response","570","667402","0.0-570.0","893.5999999046326","","","","1","","",""
"","html-keyboard-response","571","668409","0.0-571.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","572","668918","0.0-572.0","null","stimuli/images_hvm10/im55.png","","","null","55","8","2"
"","html-button-response","573","669815","0.0-573.0","894","","","","1","","",""
"","html-keyboard-response","574","670822","0.0-574.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","575","671331","0.0-575.0","null","stimuli/images_hvm10/im73.png","","","null","73","3","9"
"","html-button-response","576","672171","0.0-576.0","836.7000000476837","","","","0","","",""
"","html-keyboard-response","577","673176","0.0-577.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","578","673684","0.0-578.0","null","stimuli/images_hvm10/im125.png","","","null","125","6","8"
"","html-button-response","579","674638","0.0-579.0","950.2000000476837","","","","0","","",""
"","html-keyboard-response","580","675643","0.0-580.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","581","676151","0.0-581.0","null","stimuli/images_hvm10/im132.png","","","null","132","6","2"
"","html-button-response","582","677212","0.0-582.0","1057.5","","","","0","","",""
"","html-keyboard-response","583","678218","0.0-583.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","584","678727","0.0-584.0","null","stimuli/images_hvm10/im90.png","","","null","90","4","2"
"","html-button-response","585","679503","0.0-585.0","773.5999999046326","","","","0","","",""
"","html-keyboard-response","586","680509","0.0-586.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","587","681017","0.0-587.0","null","stimuli/images_hvm10/im81.png","","","null","81","4","0"
"","html-button-response","588","681804","0.0-588.0","783.0999999046326","","","","0","","",""
"","html-keyboard-response","589","682809","0.0-589.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","590","683318","0.0-590.0","null","stimuli/images_hvm10/im118.png","","","null","118","5","3"
"","html-button-response","591","684377","0.0-591.0","1055.7999999523163","","","","1","","",""
"","html-keyboard-response","592","685384","0.0-592.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","593","685892","0.0-593.0","null","stimuli/images_hvm10/im83.png","","","null","83","2","4"
"","html-button-response","594","687092","0.0-594.0","1197.1000001430511","","","","1","","",""
"","html-keyboard-response","595","688098","0.0-595.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","596","688603","0.0-596.0","null","stimuli/images_hvm10/im37.png","","","null","37","3","1"
"","html-button-response","597","689545","0.0-597.0","939.4000000953674","","","","1","","",""
"","html-keyboard-response","598","690551","0.0-598.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","599","691054","0.0-599.0","null","stimuli/images_hvm10/im144.png","","","null","144","9","7"
"","html-button-response","600","692014","0.0-600.0","957","","","","1","","",""
