"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"true","fullscreen","0","2633","0.0-0.0","","","","","","","",""
"","html-keyboard-response","1","4593","0.0-1.0","1956.0999999046326","Welcome to the experiment. Press any key to begin.","32","","","","",""
"","survey-html-form","2","9395","0.0-2.0","4798.900000095367","","","{""p_id"":""1198"",""age"":""23"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}","","","",""
"","html-keyboard-response","3","31979","0.0-3.0","22581.199999809265","<p>Please fixate at the center '+' sign which will appear once you press any key. Then, <strong> an image </strong> will be shown in the center of the screen.</p><p>The image will contain an object.This will be followed by a <strong> Choice Screen </strong> containing two objects. Please choose the option <strong>[Click on the object]</strong> that you think was present in the image<p>Press any key to begin.</p>","32","","","","",""
"","html-keyboard-response","4","34988","0.0-4.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","5","35493","0.0-5.0","null","stimuli/images_hvm10/im17.png","","","null","17","0","6"
"","html-button-response","6","36556","0.0-6.0","1060.4000000953674","","","","0","","",""
"","html-keyboard-response","7","37558","0.0-7.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","8","38061","0.0-8.0","null","stimuli/images_hvm10/im61.png","","","null","61","3","1"
"","html-button-response","9","39843","0.0-9.0","1780.1999998092651","","","","0","","",""
"","html-keyboard-response","10","40849","0.0-10.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","11","41356","0.0-11.0","null","stimuli/images_hvm10/im47.png","","","null","47","5","2"
"","html-button-response","12","42163","0.0-12.0","805.4000000953674","","","","0","","",""
"","html-keyboard-response","13","43164","0.0-13.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","14","43671","0.0-14.0","null","stimuli/images_hvm10/im115.png","","","null","115","7","5"
"","html-button-response","15","44443","0.0-15.0","769.8000001907349","","","","0","","",""
"","html-keyboard-response","16","45447","0.0-16.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","17","45954","0.0-17.0","null","stimuli/images_hvm10/im13.png","","","null","13","8","0"
"","html-button-response","18","47201","0.0-18.0","1245.7999997138977","","","","1","","",""
"","html-keyboard-response","19","48205","0.0-19.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","20","48708","0.0-20.0","null","stimuli/images_hvm10/im140.png","","","null","140","8","7"
"","html-button-response","21","50203","0.0-21.0","1492.5999999046326","","","","1","","",""
"","html-keyboard-response","22","51205","0.0-22.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","23","51711","0.0-23.0","null","stimuli/images_hvm10/im35.png","","","null","35","1","2"
"","html-button-response","24","52694","0.0-24.0","981.1999998092651","","","","0","","",""
"","html-keyboard-response","25","53700","0.0-25.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","26","54207","0.0-26.0","null","stimuli/images_hvm10/im139.png","","","null","139","6","3"
"","html-button-response","27","55492","0.0-27.0","1283.2000002861023","","","","1","","",""
"","html-keyboard-response","28","56499","0.0-28.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","29","57006","0.0-29.0","null","stimuli/images_hvm10/im22.png","","","null","22","4","1"
"","html-button-response","30","57941","0.0-30.0","933.5999999046326","","","","1","","",""
"","html-keyboard-response","31","58946","0.0-31.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","32","59449","0.0-32.0","null","stimuli/images_hvm10/im117.png","","","null","117","5","1"
"","html-button-response","33","60385","0.0-33.0","934.5999999046326","","","","0","","",""
"","html-keyboard-response","34","61390","0.0-34.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","35","61895","0.0-35.0","null","stimuli/images_hvm10/im0.png","","","null","0","0","7"
"","html-button-response","36","62425","0.0-36.0","528.9000000953674","","","","0","","",""
"","html-keyboard-response","37","63431","0.0-37.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","38","63938","0.0-38.0","null","stimuli/images_hvm10/im101.png","","","null","101","4","5"
"","html-button-response","39","65214","0.0-39.0","1273.6999998092651","","","","0","","",""
"","html-keyboard-response","40","66216","0.0-40.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","41","66720","0.0-41.0","null","stimuli/images_hvm10/im6.png","","","null","6","0","3"
"","html-button-response","42","67343","0.0-42.0","621.0999999046326","","","","0","","",""
"","html-keyboard-response","43","68349","0.0-43.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","44","68856","0.0-44.0","null","stimuli/images_hvm10/im10.png","","","null","10","2","0"
"","html-button-response","45","69970","0.0-45.0","1112.8000001907349","","","","1","","",""
"","html-keyboard-response","46","70976","0.0-46.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","47","71483","0.0-47.0","null","stimuli/images_hvm10/im144.png","","","null","144","3","7"
"","html-button-response","48","72497","0.0-48.0","1011.6999998092651","","","","1","","",""
"","html-keyboard-response","49","73500","0.0-49.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","50","74007","0.0-50.0","null","stimuli/images_hvm10/im153.png","","","null","153","2","7"
"","html-button-response","51","74659","0.0-51.0","649.9000000953674","","","","1","","",""
"","html-keyboard-response","52","75662","0.0-52.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","53","76166","0.0-53.0","null","stimuli/images_hvm10/im25.png","","","null","25","1","9"
"","html-button-response","54","77091","0.0-54.0","922.5999999046326","","","","0","","",""
"","html-keyboard-response","55","78093","0.0-55.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","56","78599","0.0-56.0","null","stimuli/images_hvm10/im131.png","","","null","131","6","4"
"","html-button-response","57","79435","0.0-57.0","834.2999997138977","","","","0","","",""
"","html-keyboard-response","58","80437","0.0-58.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","59","80944","0.0-59.0","null","stimuli/images_hvm10/im7.png","","","null","7","1","0"
"","html-button-response","60","82500","0.0-60.0","1554.2000002861023","","","","1","","",""
"","html-keyboard-response","61","83504","0.0-61.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","62","84007","0.0-62.0","null","stimuli/images_hvm10/im113.png","","","null","113","5","0"
"","html-button-response","63","84927","0.0-63.0","918.5999999046326","","","","0","","",""
"","html-keyboard-response","64","85934","0.0-64.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","65","86438","0.0-65.0","null","stimuli/images_hvm10/im36.png","","","null","36","3","1"
"","html-button-response","66","87489","0.0-66.0","1050.1999998092651","","","","1","","",""
"","html-keyboard-response","67","88492","0.0-67.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","68","88996","0.0-68.0","null","stimuli/images_hvm10/im146.png","","","null","146","9","7"
"","html-button-response","69","89690","0.0-69.0","692.8000001907349","","","","1","","",""
"","html-keyboard-response","70","90694","0.0-70.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","71","91201","0.0-71.0","null","stimuli/images_hvm10/im154.png","","","null","154","9","7"
"","html-button-response","72","91752","0.0-72.0","549.4000000953674","","","","1","","",""
"","html-keyboard-response","73","92756","0.0-73.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
