"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"","image-button-response","524","421234","0.0-524.0","null","stimuli/images_hvm10/im20.png","","","null","20","5","1"
"","html-button-response","525","421905","0.0-525.0","669","","","","1","","",""
"","html-keyboard-response","526","422908","0.0-526.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","527","423409","0.0-527.0","null","stimuli/images_hvm10/im120.png","","","null","120","1","6"
"","html-button-response","528","424034","0.0-528.0","625","","","","1","","",""
"","html-keyboard-response","529","425035","0.0-529.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","530","425538","0.0-530.0","null","stimuli/images_hvm10/im10.png","","","null","10","8","0"
"","html-button-response","531","426122","0.0-531.0","583","","","","1","","",""
"","html-keyboard-response","532","427125","0.0-532.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","533","427630","0.0-533.0","null","stimuli/images_hvm10/im121.png","","","null","121","9","6"
"","html-button-response","534","428146","0.0-534.0","516","","","","1","","",""
"","html-keyboard-response","535","429149","0.0-535.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","536","429653","0.0-536.0","null","stimuli/images_hvm10/im15.png","","","null","15","0","3"
"","html-button-response","537","430226","0.0-537.0","574","","","","0","","",""
"","html-keyboard-response","538","431228","0.0-538.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","539","431734","0.0-539.0","null","stimuli/images_hvm10/im11.png","","","null","11","0","9"
"","html-button-response","540","432331","0.0-540.0","596","","","","0","","",""
"","html-keyboard-response","541","433335","0.0-541.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","542","433837","0.0-542.0","null","stimuli/images_hvm10/im16.png","","","null","16","9","0"
"","html-button-response","543","434483","0.0-543.0","645","","","","1","","",""
"","html-keyboard-response","544","435487","0.0-544.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","545","435989","0.0-545.0","null","stimuli/images_hvm10/im123.png","","","null","123","3","6"
"","html-button-response","546","436627","0.0-546.0","638","","","","1","","",""
"","html-keyboard-response","547","437630","0.0-547.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","548","438131","0.0-548.0","null","stimuli/images_hvm10/im122.png","","","null","122","3","6"
"","html-button-response","549","439011","0.0-549.0","879","","","","1","","",""
"","html-keyboard-response","550","440014","0.0-550.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","551","440515","0.0-551.0","null","stimuli/images_hvm10/im31.png","","","null","31","1","8"
"","html-button-response","552","441228","0.0-552.0","712","","","","0","","",""
"","html-keyboard-response","553","442231","0.0-553.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","554","442735","0.0-554.0","null","stimuli/images_hvm10/im29.png","","","null","29","1","9"
"","html-button-response","555","443405","0.0-555.0","668","","","","0","","",""
"","html-keyboard-response","556","444405","0.0-556.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","557","444906","0.0-557.0","null","stimuli/images_hvm10/im124.png","","","null","124","6","4"
"","html-button-response","558","445540","0.0-558.0","633","","","","0","","",""
"","html-keyboard-response","559","446543","0.0-559.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","560","447045","0.0-560.0","null","stimuli/images_hvm10/im125.png","","","null","125","0","6"
"","html-button-response","561","447694","0.0-561.0","647","","","","1","","",""
"","html-keyboard-response","562","448696","0.0-562.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","563","449200","0.0-563.0","null","stimuli/images_hvm10/im17.png","","","null","17","0","2"
"","html-button-response","564","449782","0.0-564.0","581","","","","0","","",""
"","html-keyboard-response","565","450784","0.0-565.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","566","451289","0.0-566.0","null","stimuli/images_hvm10/im22.png","","","null","22","7","1"
"","html-button-response","567","451925","0.0-567.0","636","","","","1","","",""
"","html-keyboard-response","568","452929","0.0-568.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","569","453429","0.0-569.0","null","stimuli/images_hvm10/im104.png","","","null","104","9","5"
"","html-button-response","570","454006","0.0-570.0","575","","","","1","","",""
"","html-keyboard-response","571","455007","0.0-571.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","572","455509","0.0-572.0","null","stimuli/images_hvm10/im127.png","","","null","127","6","7"
"","html-button-response","573","456110","0.0-573.0","600","","","","0","","",""
"","html-keyboard-response","574","457112","0.0-574.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","575","457613","0.0-575.0","null","stimuli/images_hvm10/im25.png","","","null","25","8","1"
"","html-button-response","576","458135","0.0-576.0","521","","","","1","","",""
"","html-keyboard-response","577","459135","0.0-577.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","578","459637","0.0-578.0","null","stimuli/images_hvm10/im30.png","","","null","30","8","1"
"","html-button-response","579","460279","0.0-579.0","641","","","","1","","",""
"","html-keyboard-response","580","461281","0.0-580.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","581","461782","0.0-581.0","null","stimuli/images_hvm10/im126.png","","","null","126","6","4"
"","html-button-response","582","462534","0.0-582.0","753","","","","0","","",""
"","html-keyboard-response","583","463538","0.0-583.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","584","464043","0.0-584.0","null","stimuli/images_hvm10/im23.png","","","null","23","3","1"
"","html-button-response","585","464551","0.0-585.0","508","","","","1","","",""
"","html-keyboard-response","586","465555","0.0-586.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","587","466056","0.0-587.0","null","stimuli/images_hvm10/im27.png","","","null","27","1","9"
"","html-button-response","588","466704","0.0-588.0","647","","","","0","","",""
"","html-keyboard-response","589","467706","0.0-589.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","590","468207","0.0-590.0","null","stimuli/images_hvm10/im109.png","","","null","109","5","8"
"","html-button-response","591","468840","0.0-591.0","632","","","","0","","",""
"","html-keyboard-response","592","469842","0.0-592.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","593","470344","0.0-593.0","null","stimuli/images_hvm10/im110.png","","","null","110","1","5"
"","html-button-response","594","470945","0.0-594.0","600","","","","1","","",""
"","html-keyboard-response","595","471947","0.0-595.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","596","472448","0.0-596.0","null","stimuli/images_hvm10/im108.png","","","null","108","4","5"
"","html-button-response","597","473009","0.0-597.0","560","","","","1","","",""
"","html-keyboard-response","598","474011","0.0-598.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","599","474514","0.0-599.0","null","stimuli/images_hvm10/im111.png","","","null","111","2","5"
"","html-button-response","600","475017","0.0-600.0","503","","","","1","","",""
