"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"","html-keyboard-response","295","252744","0.0-295.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","296","253246","0.0-296.0","null","stimuli/images_hvm10/im115.png","","","null","115","1","5"
"","html-button-response","297","253822","0.0-297.0","575","","","","1","","",""
"","html-keyboard-response","298","254826","0.0-298.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","299","255329","0.0-299.0","null","stimuli/images_hvm10/im51.png","","","null","51","2","4"
"","html-button-response","300","256325","0.0-300.0","995","","","","0","","",""
"","html-keyboard-response","301","257328","0.0-301.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","302","257829","0.0-302.0","null","stimuli/images_hvm10/im112.png","","","null","112","5","2"
"","html-button-response","303","258469","0.0-303.0","641","","","","0","","",""
"","html-keyboard-response","304","259472","0.0-304.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","305","259975","0.0-305.0","null","stimuli/images_hvm10/im118.png","","","null","118","1","5"
"","html-button-response","306","260903","0.0-306.0","928","","","","1","","",""
"","html-keyboard-response","307","261908","0.0-307.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","308","262415","0.0-308.0","null","stimuli/images_hvm10/im15.png","","","null","15","0","1"
"","html-button-response","309","263229","0.0-309.0","813","","","","0","","",""
"","html-keyboard-response","310","264231","0.0-310.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","311","264734","0.0-311.0","null","stimuli/images_hvm10/im60.png","","","null","60","3","0"
"","html-button-response","312","265536","0.0-312.0","799","","","","0","","",""
"","html-keyboard-response","313","266539","0.0-313.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","314","267040","0.0-314.0","null","stimuli/images_hvm10/im62.png","","","null","62","5","3"
"","html-button-response","315","267816","0.0-315.0","775","","","","0","","",""
"","html-keyboard-response","316","268819","0.0-316.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","317","269321","0.0-317.0","null","stimuli/images_hvm10/im117.png","","","null","117","5","2"
"","html-button-response","318","269983","0.0-318.0","661","","","","0","","",""
"","html-keyboard-response","319","270988","0.0-319.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","320","271489","0.0-320.0","null","stimuli/images_hvm10/im116.png","","","null","116","9","5"
"","html-button-response","321","272239","0.0-321.0","750","","","","1","","",""
"","html-keyboard-response","322","273241","0.0-322.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","323","273742","0.0-323.0","null","stimuli/images_hvm10/im119.png","","","null","119","5","6"
"","html-button-response","324","274664","0.0-324.0","920","","","","0","","",""
