run_id,condition,rt,response,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response_type,key_press,avg_frame_time,center_x,center_y,trial,block,test_pos,test_inner_radius,test_outer_radius,ref_inner_radius,ref_outer_radius,test_bigger,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
20,1,29344.300000071526,"{""p_id"":""7577"",""age"":""22"",""handedness"":""right"",""sex"":""female"",""other_sex"":""}",survey-html-form,0,29358,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,13062.899999976158," ",html-keyboard-response,1,42428,0.0-1.0,"<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,24076.400000095367," ",psychophysics,2,66545,0.0-2.0,"""",key," ",16.722829285218594,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,12020,arrowright,psychophysics,3,78577,0.0-3.0-0.0,"""",key,arrowright,16.711293055555547,565.5,329.5,1,1,-1,23,15,25,35,false,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,null,null,psychophysics,4,79580,0.0-3.0-1.0,"""",key,null,16.711000000000134,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,2223.4000000953674,arrowleft,psychophysics,5,81818,0.0-3.0-0.1,"""",key,arrowleft,16.712406015037594,565.5,329.5,2,1,1,20,35,25,35,false,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,null,null,psychophysics,6,82822,0.0-3.0-1.1,"""",key,null,16.711000000000134,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,968,arrowright,psychophysics,7,83793,0.0-3.0-0.2,"""",key,arrowright,16.711000000000034,565.5,329.5,3,1,1,27,35,25,35,true,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,null,null,psychophysics,8,84797,0.0-3.0-1.2,"""",key,null,16.711000000000134,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,1401.8999999761581,arrowright,psychophysics,9,86202,0.0-3.0-0.3,"""",key,arrowright,16.711000000000077,565.5,329.5,4,1,-1,20,35,25,35,false,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,null,null,psychophysics,10,87207,0.0-3.0-1.3,"""",key,null,16.710999999999885,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,11565.5,arrowleft,psychophysics,11,98779,0.0-3.0-0.4,"""",key,arrowleft,16.711238439306353,565.5,329.5,5,1,1,24,35,25,35,false,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,null,null,psychophysics,12,99784,0.0-3.0-1.4,"""",key,null,16.711000000000134,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,1929,arrowleft,psychophysics,13,101717,0.0-3.0-0.5,"""",key,arrowleft,16.712182608695635,565.5,329.5,6,1,-1,24,15,25,35,true,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,null,null,psychophysics,14,102719,0.0-3.0-1.5,"""",key,null,16.711000000000134,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,2705,arrowright,psychophysics,15,105427,0.0-3.0-0.6,"""",key,arrowright,16.71100000000003,565.5,329.5,7,1,1,25,15,25,35,true,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,null,null,psychophysics,16,106431,0.0-3.0-1.6,"""",key,null,16.711000000000134,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,1849.6000000238419,arrowleft,psychophysics,17,108284,0.0-3.0-0.7,"""",key,arrowleft,16.710999999999927,565.5,329.5,8,1,-1,25,35,25,35,true,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,null,null,psychophysics,18,109286,0.0-3.0-1.7,"""",key,null,16.710999999999885,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,854.7999999523163,arrowright,psychophysics,19,110143,0.0-3.0-0.8,"""",key,arrowright,16.7154800000001,565.5,329.5,9,1,1,30,15,25,35,true,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,null,null,psychophysics,20,111146,0.0-3.0-1.8,"""",key,null,16.711000000000134,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,1189.2000000476837,arrowright,psychophysics,21,112342,0.0-3.0-0.9,"""",key,arrowright,16.710999999999995,565.5,329.5,10,1,1,25,15,25,35,true,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,null,null,psychophysics,22,113344,0.0-3.0-1.9,"""",key,null,16.710999999999885,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,1488.1000000238419,arrowleft,psychophysics,23,114836,0.0-3.0-0.10,"""",key,arrowleft,16.71099999999999,565.5,329.5,11,1,1,23,15,25,35,false,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,null,null,psychophysics,24,115838,0.0-3.0-1.10,"""",key,null,16.710999999999885,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,4359,arrowright,psychophysics,25,120200,0.0-3.0-0.11,"""",key,arrowright,16.711738461538502,565.5,329.5,12,1,-1,23,15,25,35,false,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,null,null,psychophysics,26,121205,0.0-3.0-1.11,"""",key,null,16.710999999999885,565.5,329.5,"""","""","""","""","""","""","""","""","2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
20,1,2219.100000023842,arrowright,psychophysics,27,123427,0.0-3.0-0.12,"""",key,arrowright,16.71099999999999,565.5,329.5,13,1,-1,25,35,25,35,false,"2021-10-03 19:51:37",173.34.188.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",Macintosh,Chrome,92.0.4515.159,"OS X",10_12_6,fe3c1d035a65c549f7011c5446f73ede
