run_id,condition,rt,response,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response_type,key_press,avg_frame_time,center_x,center_y,trial,block,test_pos,test_inner_radius,test_outer_radius,ref_inner_radius,ref_outer_radius,test_bigger,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
24,1,118464.00000000001,"{""p_id"":""0345"",""age"":""21"",""handedness"":""right"",""sex"":""female"",""other_sex"":""}",survey-html-form,0,118472,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-10-04 18:55:04",99.231.64.33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",Macintosh,Safari,14.1.2,"OS X",10_14_6,fe3c1d035a65c549f7011c5446f73ede
24,1,27183.000000000015," ",html-keyboard-response,1,145664,0.0-1.0,"<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-10-04 18:55:04",99.231.64.33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",Macintosh,Safari,14.1.2,"OS X",10_14_6,fe3c1d035a65c549f7011c5446f73ede
24,1,37453," ",psychophysics,2,183126,0.0-2.0,"""",key," ",16.694605439144002,720,418.5,"""","""","""","""","""","""","""","""","2021-10-04 18:55:04",99.231.64.33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",Macintosh,Safari,14.1.2,"OS X",10_14_6,fe3c1d035a65c549f7011c5446f73ede
24,1,13310,arrowright,psychophysics,3,196444,0.0-3.0-0.0,"""",key,arrowright,16.64831038798498,720,418.5,1,1,1,26,35,25,35,true,"2021-10-04 18:55:04",99.231.64.33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",Macintosh,Safari,14.1.2,"OS X",10_14_6,fe3c1d035a65c549f7011c5446f73ede
24,1,null,null,psychophysics,4,197449,0.0-3.0-1.0,"""",key,null,16.466666666666665,720,418.5,"""","""","""","""","""","""","""","""","2021-10-04 18:55:04",99.231.64.33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",Macintosh,Safari,14.1.2,"OS X",10_14_6,fe3c1d035a65c549f7011c5446f73ede
24,1,3274.999999999971,arrowright,psychophysics,5,200733,0.0-3.0-0.1,"""",key,arrowright,16.647959183673468,720,418.5,2,1,1,25,15,25,35,true,"2021-10-04 18:55:04",99.231.64.33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",Macintosh,Safari,14.1.2,"OS X",10_14_6,fe3c1d035a65c549f7011c5446f73ede
24,1,null,null,psychophysics,6,201736,0.0-3.0-1.1,"""",key,null,16.4,720,418.5,"""","""","""","""","""","""","""","""","2021-10-04 18:55:04",99.231.64.33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",Macintosh,Safari,14.1.2,"OS X",10_14_6,fe3c1d035a65c549f7011c5446f73ede
24,1,1428,arrowleft,psychophysics,7,203167,0.0-3.0-0.2,"""",key,arrowleft,16.63529411764706,720,418.5,3,1,-1,27,15,25,35,true,"2021-10-04 18:55:04",99.231.64.33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",Macintosh,Safari,14.1.2,"OS X",10_14_6,fe3c1d035a65c549f7011c5446f73ede
24,1,null,null,psychophysics,8,204174,0.0-3.0-1.2,"""",key,null,16.327868852459016,720,418.5,"""","""","""","""","""","""","""","""","2021-10-04 18:55:04",99.231.64.33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",Macintosh,Safari,14.1.2,"OS X",10_14_6,fe3c1d035a65c549f7011c5446f73ede
24,1,1101,arrowleft,psychophysics,9,205278,0.0-3.0-0.3,"""",key,arrowleft,16.661538461538463,720,418.5,4,1,1,20,15,25,35,false,"2021-10-04 18:55:04",99.231.64.33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",Macintosh,Safari,14.1.2,"OS X",10_14_6,fe3c1d035a65c549f7011c5446f73ede
